+---------------------+----------------------------------------------+----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields              |
| of the Block class in question. The actual final values may be different                    |
| for different states of the block, or they may depend on a TileEntity etc.                  |
+---------------------+----------------------------------------------+----------+-------------+
| Mod name            | Registry name                                | Hardness |  Resistance |
| Biomes O' Plenty    | biomesoplenty:hellbark_stairs                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:hive                           |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:honey                          |   100.00 |      500.00 |
| Biomes O' Plenty    | biomesoplenty:honey_block                    |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:hot_spring_water               |   100.00 |      500.00 |
| Biomes O' Plenty    | biomesoplenty:ivy                            |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:jacaranda_door_block           |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:jacaranda_fence                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:jacaranda_fence_gate           |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:jacaranda_stairs               |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_0                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_1                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_2                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_3                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_4                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_5                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:leaves_6                       |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:log_0                          |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:log_1                          |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:log_2                          |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:log_3                          |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:log_4                          |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:magic_door_block               |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:magic_fence                    |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:magic_fence_gate               |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:magic_stairs                   |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mahogany_door_block            |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mahogany_fence                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mahogany_fence_gate            |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mahogany_stairs                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mangrove_door_block            |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mangrove_fence                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mangrove_fence_gate            |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mangrove_stairs                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:mud                            |     0.60 |        3.00 |
| Biomes O' Plenty    | biomesoplenty:mud_brick_block                |     1.00 |        6.00 |
| Biomes O' Plenty    | biomesoplenty:mud_brick_stairs               |     1.00 |        6.00 |
| Biomes O' Plenty    | biomesoplenty:mushroom                       |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:other_slab                     |     2.00 |       21.00 |
| Biomes O' Plenty    | biomesoplenty:palm_door_block                |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:palm_fence                     |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:palm_fence_gate                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:palm_stairs                    |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:pine_door_block                |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:pine_fence                     |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:pine_fence_gate                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:pine_stairs                    |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:planks_0                       |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:plant_0                        |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:plant_1                        |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:poison                         |   100.00 |      500.00 |
| Biomes O' Plenty    | biomesoplenty:redwood_door_block             |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:redwood_fence                  |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:redwood_fence_gate             |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:redwood_stairs                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:sacred_oak_door_block          |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:sacred_oak_fence               |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:sacred_oak_fence_gate          |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:sacred_oak_stairs              |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:sand                           |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:sapling_0                      |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:sapling_1                      |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:sapling_2                      |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:seaweed                        |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:terrarium                      |     1.00 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:umbran_door_block              |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:umbran_fence                   |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:umbran_fence_gate              |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:umbran_stairs                  |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:waterlily                      |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:white_sand                     |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:white_sandstone                |     0.80 |        4.00 |
| Biomes O' Plenty    | biomesoplenty:white_sandstone_stairs         |     0.80 |        4.00 |
| Biomes O' Plenty    | biomesoplenty:willow_door_block              |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:willow_fence                   |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:willow_fence_gate              |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:willow_stairs                  |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:willow_vine                    |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:wood_slab_0                    |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:wood_slab_1                    |     2.00 |       15.00 |
| Canny Composter     | composter:compost_bin                        |     1.50 |       15.00 |
| Ceramics            | ceramics:channel                             |     3.00 |       60.00 |
| Ceramics            | ceramics:clay_barrel                         |     1.25 |       21.00 |
| Ceramics            | ceramics:clay_barrel_stained                 |     1.25 |       21.00 |
| Ceramics            | ceramics:clay_barrel_stained_extension       |     1.25 |       21.00 |
| Ceramics            | ceramics:clay_barrel_unfired                 |     0.60 |        3.00 |
| Ceramics            | ceramics:clay_bucket_block                   |     0.00 |        0.00 |
| Ceramics            | ceramics:clay_hard                           |     1.25 |       90.00 |
| Ceramics            | ceramics:clay_slab                           |     1.25 |       90.00 |
| Ceramics            | ceramics:clay_soft                           |     0.60 |        9.00 |
| Ceramics            | ceramics:clay_wall                           |     1.25 |       90.00 |
| Ceramics            | ceramics:dark_bricks_stairs                  |     1.25 |       90.00 |
| Ceramics            | ceramics:dragon_bricks_stairs                |     1.25 |       90.00 |
| Ceramics            | ceramics:faucet                              |     3.00 |       60.00 |
| Ceramics            | ceramics:golden_bricks_stairs                |     1.25 |       90.00 |
| Ceramics            | ceramics:lava_bricks_stairs                  |     1.25 |       90.00 |
| Ceramics            | ceramics:marine_bricks_stairs                |     1.25 |       90.00 |
| Ceramics            | ceramics:monochrome_bricks_stairs            |     1.25 |       90.00 |
| Ceramics            | ceramics:porcelain                           |     1.25 |       90.00 |
| Ceramics            | ceramics:porcelain_barrel                    |     1.25 |       21.00 |
| Ceramics            | ceramics:porcelain_barrel_extension          |     1.25 |       21.00 |
| Ceramics            | ceramics:porcelain_bricks_stairs             |     1.25 |       90.00 |
| Ceramics            | ceramics:rainbow_bricks_stairs               |     1.25 |       90.00 |
| Ceramics            | ceramics:rainbow_clay                        |     1.25 |       90.00 |
| Chisel              | chisel:andesite                              |     1.50 |       90.00 |
| Chisel              | chisel:andesite1                             |     1.50 |       90.00 |
| Chisel              | chisel:andesite2                             |     1.50 |       90.00 |
| Chisel              | chisel:antiblock                             |     1.00 |        5.00 |
| Chisel              | chisel:auto_chisel                           |     2.50 |       12.50 |
| Chisel              | chisel:basalt                                |     1.50 |       30.00 |
| Chisel              | chisel:basalt1                               |     1.50 |       30.00 |
| Chisel              | chisel:basalt2                               |     1.50 |       30.00 |
| Chisel              | chisel:block_charcoal                        |     5.00 |       30.00 |
| Chisel              | chisel:block_charcoal1                       |     5.00 |       30.00 |
| Chisel              | chisel:block_charcoal2                       |     5.00 |       30.00 |
| Chisel              | chisel:block_coal                            |     5.00 |       30.00 |
| Chisel              | chisel:block_coal1                           |     5.00 |       30.00 |
| Chisel              | chisel:block_coal2                           |     5.00 |       30.00 |
| Chisel              | chisel:block_coal_coke                       |     5.00 |       30.00 |
| Chisel              | chisel:block_coal_coke1                      |     5.00 |       30.00 |
| Chisel              | chisel:block_coal_coke2                      |     5.00 |       30.00 |
| Chisel              | chisel:blockaluminum                         |     1.00 |        5.00 |
| Chisel              | chisel:blockbronze                           |     5.00 |       25.00 |
| Chisel              | chisel:blockcobalt                           |     5.00 |       25.00 |
| Chisel              | chisel:blockcopper                           |     5.00 |       25.00 |
| Chisel              | chisel:blockelectrum                         |     5.00 |       25.00 |
| Chisel              | chisel:blockgold                             |     3.00 |       30.00 |
| Chisel              | chisel:blockinvar                            |     5.00 |       25.00 |
| Chisel              | chisel:blockiron                             |     5.00 |       25.00 |
| Chisel              | chisel:blocklead                             |     5.00 |       25.00 |
| Chisel              | chisel:blocknickel                           |     5.00 |       25.00 |
| Chisel              | chisel:blockplatinum                         |     5.00 |       25.00 |
| Chisel              | chisel:blocksilver                           |     1.00 |        5.00 |
| Chisel              | chisel:blocksteel                            |     1.00 |        5.00 |
| Chisel              | chisel:blocktin                              |     1.00 |        5.00 |
| Chisel              | chisel:blockuranium                          |     1.00 |        5.00 |
| Chisel              | chisel:bookshelf_acacia                      |     1.50 |        7.50 |
| Chisel              | chisel:bookshelf_birch                       |     1.50 |        7.50 |
| Chisel              | chisel:bookshelf_darkoak                     |     1.50 |        7.50 |
| Chisel              | chisel:bookshelf_jungle                      |     1.50 |        7.50 |
| Chisel              | chisel:bookshelf_oak                         |     1.50 |        7.50 |
| Chisel              | chisel:bookshelf_spruce                      |     1.50 |        7.50 |
| Chisel              | chisel:bricks                                |     2.00 |       30.00 |
| Chisel              | chisel:bricks1                               |     2.00 |       30.00 |
| Chisel              | chisel:bricks2                               |     2.00 |       30.00 |
| Chisel              | chisel:brownstone                            |     1.00 |        5.00 |
| Chisel              | chisel:carpet_black                          |     0.10 |        5.00 |
| Chisel              | chisel:carpet_blue                           |     0.10 |        5.00 |
| Chisel              | chisel:carpet_brown                          |     0.10 |        5.00 |
| Chisel              | chisel:carpet_cyan                           |     0.10 |        5.00 |
| Chisel              | chisel:carpet_gray                           |     0.10 |        5.00 |
| Chisel              | chisel:carpet_green                          |     0.10 |        5.00 |
| Chisel              | chisel:carpet_lightblue                      |     0.10 |        5.00 |
| Chisel              | chisel:carpet_lightgray                      |     0.10 |        5.00 |
| Chisel              | chisel:carpet_lime                           |     0.10 |        5.00 |
| Chisel              | chisel:carpet_magenta                        |     0.10 |        5.00 |
| Chisel              | chisel:carpet_orange                         |     0.10 |        5.00 |
| Chisel              | chisel:carpet_pink                           |     0.10 |        5.00 |
| Chisel              | chisel:carpet_purple                         |     0.10 |        5.00 |
| Chisel              | chisel:carpet_red                            |     0.10 |        5.00 |
| Chisel              | chisel:carpet_white                          |     0.10 |        5.00 |
| Chisel              | chisel:carpet_yellow                         |     0.10 |        5.00 |
| Chisel              | chisel:cloud                                 |     0.30 |        5.00 |
| Chisel              | chisel:cobblestone                           |     2.00 |       30.00 |
| Chisel              | chisel:cobblestone1                          |     2.00 |       30.00 |
| Chisel              | chisel:cobblestone2                          |     2.00 |       30.00 |
| Chisel              | chisel:cobblestonemossy                      |     2.00 |       30.00 |
| Chisel              | chisel:cobblestonemossy1                     |     2.00 |       30.00 |
| Chisel              | chisel:cobblestonemossy2                     |     2.00 |       30.00 |
| Chisel              | chisel:concrete_black                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_black1                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_black2                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_blue                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_blue1                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_blue2                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_brown                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_brown1                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_brown2                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_cyan                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_cyan1                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_cyan2                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_gray                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_gray1                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_gray2                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_green                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_green1                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_green2                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightblue                    |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightblue1                   |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightblue2                   |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightgray                    |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightgray1                   |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lightgray2                   |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lime                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lime1                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_lime2                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_magenta                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_magenta1                     |     1.50 |        7.50 |
| Chisel              | chisel:concrete_magenta2                     |     1.50 |        7.50 |
| Chisel              | chisel:concrete_orange                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_orange1                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_orange2                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_pink                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_pink1                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_pink2                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_purple                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_purple1                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_purple2                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_red                          |     1.50 |        7.50 |
| Chisel              | chisel:concrete_red1                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_red2                         |     1.50 |        7.50 |
| Chisel              | chisel:concrete_white                        |     1.50 |        7.50 |
| Chisel              | chisel:concrete_white1                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_white2                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_yellow                       |     1.50 |        7.50 |
| Chisel              | chisel:concrete_yellow1                      |     1.50 |        7.50 |
| Chisel              | chisel:concrete_yellow2                      |     1.50 |        7.50 |
| Chisel              | chisel:diamond                               |     5.00 |       25.00 |
| Chisel              | chisel:diorite                               |     1.50 |       90.00 |
| Chisel              | chisel:diorite1                              |     1.50 |       90.00 |
| Chisel              | chisel:diorite2                              |     1.50 |       90.00 |
| Chisel              | chisel:dirt                                  |     0.50 |        5.00 |
| Chisel              | chisel:emerald                               |     5.00 |       30.00 |
| Chisel              | chisel:endstone                              |     3.00 |       45.00 |
| Chisel              | chisel:endstone1                             |     3.00 |       45.00 |
| Chisel              | chisel:endstone2                             |     3.00 |       45.00 |
| Chisel              | chisel:energizedvoidstone                    |     1.00 |        5.00 |
| Chisel              | chisel:factory                               |     1.00 |        5.00 |
| Chisel              | chisel:factory1                              |     1.00 |        5.00 |
| Chisel              | chisel:futura                                |     1.00 |        5.00 |
| Chisel              | chisel:glass                                 |     0.30 |        5.00 |
| Chisel              | chisel:glass1                                |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedblack                        |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedblue                         |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedbrown                        |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedcyan                         |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedgray                         |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedgreen                        |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedlightblue                    |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedlightgray                    |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedlime                         |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedmagenta                      |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedorange                       |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedpink                         |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedpurple                       |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedred                          |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedwhite                        |     0.30 |        5.00 |
| Chisel              | chisel:glassdyedyellow                       |     0.30 |        5.00 |
| Chisel              | chisel:glasspane                             |     0.30 |        5.00 |
| Chisel              | chisel:glasspane1                            |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedblack                    |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedblue                     |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedbrown                    |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedcyan                     |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedgray                     |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedgreen                    |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedlightblue                |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedlightgray                |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedlime                     |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedmagenta                  |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedorange                   |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedpink                     |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedpurple                   |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedred                      |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedwhite                    |     0.30 |        5.00 |
| Chisel              | chisel:glasspanedyedyellow                   |     0.30 |        5.00 |
| Chisel              | chisel:glowstone                             |     0.30 |        4.50 |
| Chisel              | chisel:glowstone1                            |     0.30 |        4.50 |
| Chisel              | chisel:glowstone2                            |     0.30 |        4.50 |
| Chisel              | chisel:gold                                  |     3.00 |       30.00 |
| Chisel              | chisel:granite                               |     1.50 |       90.00 |
| Chisel              | chisel:granite1                              |     1.50 |       90.00 |
| Chisel              | chisel:granite2                              |     1.50 |       90.00 |
| Chisel              | chisel:hardenedclay                          |     1.25 |       21.00 |
| Chisel              | chisel:hardenedclay1                         |     1.25 |       21.00 |
| Chisel              | chisel:hardenedclay2                         |     1.25 |       21.00 |
| Chisel              | chisel:ice                                   |     0.50 |        5.00 |
| Chisel              | chisel:ice1                                  |     0.50 |        5.00 |
| Chisel              | chisel:ice2                                  |     0.50 |        5.00 |
| Chisel              | chisel:icepillar                             |     0.50 |        5.00 |
| Chisel              | chisel:iron                                  |     5.00 |       25.00 |
| Chisel              | chisel:ironpane                              |     5.00 |       25.00 |
| Chisel              | chisel:laboratory                            |     1.00 |        5.00 |
| Chisel              | chisel:lapis                                 |     3.00 |       15.00 |
| Chisel              | chisel:lavastone                             |     4.00 |      150.00 |
| Chisel              | chisel:lavastone1                            |     4.00 |      150.00 |
| Chisel              | chisel:lavastone2                            |     4.00 |      150.00 |
| Chisel              | chisel:limestone                             |     1.50 |       30.00 |
| Chisel              | chisel:limestone1                            |     1.50 |       30.00 |
| Chisel              | chisel:limestone2                            |     1.50 |       30.00 |
| Chisel              | chisel:marble                                |     1.50 |       30.00 |
| Chisel              | chisel:marble1                               |     1.50 |       30.00 |
| Chisel              | chisel:marble2                               |     1.50 |       30.00 |
| Chisel              | chisel:marblepillar                          |     1.50 |       30.00 |
| Chisel              | chisel:netherbrick                           |     2.00 |       30.00 |
| Chisel              | chisel:netherrack                            |     0.40 |        5.00 |
| Chisel              | chisel:obsidian                              |    50.00 |     6000.00 |
| Chisel              | chisel:paper                                 |     1.50 |        7.50 |
| Chisel              | chisel:planks-acacia                         |     2.00 |       15.00 |
| Chisel              | chisel:planks-birch                          |     2.00 |       15.00 |
| Chisel              | chisel:planks-dark-oak                       |     2.00 |       15.00 |
| Chisel              | chisel:planks-jungle                         |     2.00 |       15.00 |
| Chisel              | chisel:planks-oak                            |     2.00 |       15.00 |
| Chisel              | chisel:planks-spruce                         |     2.00 |       15.00 |
| Chisel              | chisel:prismarine                            |     1.50 |       30.00 |
| Chisel              | chisel:prismarine1                           |     1.50 |       30.00 |
| Chisel              | chisel:prismarine2                           |     1.50 |       30.00 |
| Chisel              | chisel:purpur                                |     1.50 |       30.00 |
| Chisel              | chisel:purpur1                               |     1.50 |       30.00 |
| Chisel              | chisel:purpur2                               |     1.50 |       30.00 |
| Chisel              | chisel:quartz                                |     0.80 |       12.00 |
| Chisel              | chisel:quartz1                               |     0.80 |       12.00 |
| Chisel              | chisel:redstone                              |     5.00 |       30.00 |
| Chisel              | chisel:redstone1                             |     5.00 |       30.00 |
| Chisel              | chisel:sandstone-scribbles                   |     0.80 |        5.00 |
| Chisel              | chisel:sandstonered                          |     0.80 |        5.00 |
| Chisel              | chisel:sandstonered-scribbles                |     0.80 |        5.00 |
| Chisel              | chisel:sandstonered1                         |     0.80 |        5.00 |
| Chisel              | chisel:sandstonered2                         |     0.80 |        5.00 |
| Chisel              | chisel:sandstoneyellow                       |     0.80 |        5.00 |
| Chisel              | chisel:sandstoneyellow1                      |     0.80 |        5.00 |
| Chisel              | chisel:sandstoneyellow2                      |     0.80 |        5.00 |
| Chisel              | chisel:stonebrick                            |     1.50 |       30.00 |
| Chisel              | chisel:stonebrick1                           |     1.50 |       30.00 |
| Chisel              | chisel:stonebrick2                           |     1.50 |       30.00 |
